DESCONHECIDO | COVAS | contexto: P3 | melhor match: 'COVAS' (100%)
DESCONHECIDO | M3A M3M | contexto: P4 | melhor match: 'M3A' (90%)
DESCONHECIDO | V1-2 6 | contexto: V1-2 | melhor match: 'V1-2' (90%)
DESCONHECIDO | V1-2 14 | contexto: V1-2 | melhor match: 'V1-2' (90%)
DESCONHECIDO | C14x1000 | contexto: V1-2 | melhor match: 'C14x1000,CE2' (90%)
DESCONHECIDO | 45.11m 45.11m | contexto: P1-3 | melhor match: '45.11m 45.11m' (100%)
DESCONHECIDO | Latitude: Longitude: -23.15887864 -45.485883437 | contexto: P14 | melhor match: 'Latitude:' (90%)
DESCONHECIDO | CE1 M1M | contexto: P13 | melhor match: 'CE1' (90%)
DESCONHECIDO | Latitude: Longitude: -23.159500 -45.484917 | contexto: P12 | melhor match: 'Latitude:' (90%)
DESCONHECIDO | Latitude: Longitude: -23.15982288 -45.48443143 | contexto: P11 | melhor match: '-23.15982288' (90%)
DESCONHECIDO | OSWALDO | contexto: V10-11 | melhor match: 'LADO' (77%)
DESCONHECIDO | CRUZ | contexto: V10-11 | melhor match: 'CRUZ' (100%)
DESCONHECIDO | FF ENCABEÇAR 691957 R70 | contexto: P4 | melhor match: 'ENCABEÇAR' (90%)
DESCONHECIDO | CEAFC4 M4M | contexto: P3 | melhor match: 'CEAFC4' (90%)
DESCONHECIDO | Latitude: Longitude: -23.15991714 -45.48127982 | contexto: P3 | melhor match: 'Latitude:' (90%)
DESCONHECIDO | MT 4x1/0ANA | contexto: P2 | melhor match: '4x1/0AN' (90%)
DESCONHECIDO | Latitude: Longitude: -23.16002921 -45.48400682 | contexto: P10 | melhor match: 'Latitude:' (90%)
DESCONHECIDO | CE-SH B1F | contexto: P6 | melhor match: 'B1F' (90%)
DESCONHECIDO | OSWALDO CRUZ | contexto: V3-4 | melhor match: 'CRUZ' (90%)
DESCONHECIDO | 13 0 1 | contexto: P1 | melhor match: '1 1 7 1 7' (86%)
DESCONHECIDO | 1 30 1 | contexto: P1 | melhor match: '1 30 1' (100%)
DESCONHECIDO | 9.26m V4-5 | contexto: V4-5 | melhor match: 'V4-5' (90%)
DESCONHECIDO | 1 x63x51260(5708)A5X | contexto: P4 | melhor match: '1 1 7' (86%)
DESCONHECIDO | Q/R | contexto: P4 | melhor match: 'Q/R' (100%)
DESCONHECIDO | SOLICITANTE | contexto: P1-11 | melhor match: 'SOLICITANTE' (100%)
DESCONHECIDO | M1M Q/R | contexto: P1-11 | melhor match: 'M1M' (90%)
DESCONHECIDO | ENDERECO | contexto: P1-11 | melhor match: 'ENDERECO' (100%)
DESCONHECIDO | BAIRRO | contexto: P1-11 | melhor match: 'B4A' (72%)
DESCONHECIDO | NOVO PONTO | contexto: P3 | melhor match: 'PONTO' (90%)
DESCONHECIDO | PRE4 | contexto: P2 | melhor match: 'PRE4' (100%)
DESCONHECIDO | sp P13 | contexto: P2 | melhor match: 'P13' (90%)
DESCONHECIDO | RCAL185-6.2m | contexto: V9-10 | melhor match: 'RCAL7' (80%)
DESCONHECIDO | V9-10 RCAL185-25.4m | contexto: V9-10 | melhor match: 'V9-1' (90%)
DESCONHECIDO | V10-11 RCAL185-35.4m | contexto: V9-10 | melhor match: 'V10-11' (90%)
DESCONHECIDO | V11-12 RCAL185-15.7m | contexto: V9-10 | melhor match: 'V11-12' (90%)
DESCONHECIDO | V13-14 RCAL185-11.2m | contexto: V9-10 | melhor match: 'V13-14' (90%)
DESCONHECIDO | V14-15 RCAL185-20.5m | contexto: V10-11 | melhor match: 'RCAL7' (76%)
DESCONHECIDO | CALÇADA | contexto: V13-14 | melhor match: 'CALÇADA' (100%)
DESCONHECIDO | CF-V P12 | contexto: V14-15 | melhor match: 'P12' (90%)
DESCONHECIDO | PRE1 sp | contexto: P1 | melhor match: 'PRE1' (90%)
